Z,best_Z_so_far,best_iter_so_far,case_id,clean_edit_embedding_norm,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_clipped_high_fraction,dct_clipped_low_fraction,dct_coefficient_delta_l1,dct_coefficient_delta_l2,dct_dc_energy,dct_enabled,dct_frequency_mask_mode,dct_gain_grad_norm,dct_gain_l2,dct_gain_max,dct_gain_mean,dct_gain_mean_abs,dct_gain_min,dct_high_frequency_energy_after,dct_high_frequency_energy_before,dct_input_coefficient_energy,dct_low_frequency_energy_after,dct_low_frequency_energy_before,dct_mid_frequency_energy_after,dct_mid_frequency_energy_before,dct_num_at_max,dct_num_at_min,dct_num_clamped,dct_output_coefficient_energy,dct_relative_energy_change,dct_selected_frequency_count,dct_spatial_delta_l1,dct_spatial_delta_l2,dct_spatial_delta_max_abs,dct_spatial_delta_mse,delaunay_enabled,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,edit_identity_angle_degrees,edit_identity_angle_radians,edit_identity_cosine_distance,edit_identity_cosine_similarity_raw,edit_identity_l2_embedding_distance,edit_identity_similarity_score_pct,editor_num_inference_steps,face_id,fft_phase_enabled,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,identity_angle_degrees,identity_angle_radians,identity_cosine_distance,identity_cosine_similarity_raw,identity_l2_embedding_distance,identity_similarity_score_pct,iter,jacobian_det_min,l2_to_original,learning_rate,legacy_fft_strength_equivalent,loss,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,original_embedding_norm,peak_vram_gb,perturbed_edit_embedding_norm,perturbed_embedding_norm,prompt,psnr_to_original,rolling_enabled,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_original,total_geometry_grad_norm,total_grad_norm,tps_enabled,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min
0.9979408979415894,0.9979408979415894,0,face_002__add_black_sunglasses,1.0,0.8258978724479675,0.18926385045051575,0.4821089506149292,,0.0,0.0002581278677098453,0.0,0.0,21.7424259185791,1,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,7.473098958143964e-05,7.473098958143964e-05,0.34217947721481323,0.015591226518154144,0.015591226518154144,0.000563359004445374,0.000563359004445374,0,0,0,0.34217947721481323,0.0,189,1.7545679042996198e-07,2.484836727489892e-07,1.3709068298339844e-06,6.17441346531869e-14,1,0.0,0.750350832939148,0.19128313660621643,0,0,0.44028618931770325,0.7648470997810364,0.3014463484287262,-0.7458562850952148,3.6774871349334717,0.06418425589799881,0.0020591020584106445,0.9979408979415894,0.06417253613471985,99.7940902709961,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.6774871349334717,0.06418425589799881,0.0020591020584106445,0.9979408979415894,0.06417253613471985,99.7940902709961,0,0.9890984296798706,0.006883529014885426,0.05,0.0,0.9979408979415894,4.738297138828784e-05,0,0,0,291,1.0,2.928229331970215,1.0,1.0,add black sunglasses,43.2437770813259,1,0.0,0.0761953741312027,0.021238572895526886,0,0,0.0663319081068039,0.05933866277337074,0.07638341933488846,-0.09342817962169647,0.0,0.0,250852,0.00464843912050128,0.9996392130851746,0.0,0.0,1,0.0,0.4113498330116272,0.10734045505523682,0,0,0.26984623074531555,0.40515631437301636,0.12231120467185974,-0.38672566413879395
0.8886679410934448,0.8886679410934448,1,face_002__add_black_sunglasses,1.0,0.8258978724479675,0.18926385045051575,0.4821089506149292,,0.0,0.0002581278677098453,0.0,0.0,21.7424259185791,1,all_ac,0.00719474209472537,0.6869124174118042,0.04999981075525284,-0.0039690276607871056,0.04996534809470177,-0.04999976232647896,7.473098958143964e-05,7.473098958143964e-05,0.34217947721481323,0.015591226518154144,0.015591226518154144,0.000563359004445374,0.000563359004445374,0,0,0,0.34217947721481323,0.0,189,1.7545679042996198e-07,2.484836727489892e-07,1.3709068298339844e-06,6.17441346531869e-14,1,0.004261208698153496,0.750350832939148,0.19128313660621643,0,0,0.44028618931770325,0.7648470997810364,0.29744645953178406,-0.695857048034668,27.293664932250977,0.4763643145561218,0.11133205890655518,0.8886679410934448,0.4718731641769409,88.86679077148438,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.293664932250977,0.4763643145561218,0.11133205890655518,0.8886679410934448,0.4718731641769409,88.86679077148438,1,0.9890984296798706,0.006883529014885426,0.05,0.0,0.8886679410934448,4.738297138828784e-05,0,0,0,291,1.0,5.315603256225586,0.9999999403953552,0.9999999403953552,add black sunglasses,43.2437770813259,1,0.000276911974651739,0.0761953741312027,0.021238572895526886,0,0,0.0663319081068039,0.1093360036611557,0.12638086080551147,-0.14342571794986725,11.025325560942292,7.255056440830231,250852,0.00464843912050128,0.9996392130851746,0.009589594788849354,0.009589594788849354,1,0.004686302505433559,0.4113498330116272,0.10734045505523682,0,0,0.26984623074531555,0.45515376329421997,0.12119731307029724,-0.38672566413879395
0.8863118886947632,0.8863118886947632,2,face_002__add_black_sunglasses,1.0,0.7768605947494507,0.18113531172275543,0.42978647351264954,,0.0,0.0008646647329442203,0.0007655484369024634,0.0024705741088837385,21.738252639770508,1,all_ac,0.01352731417864561,1.0625005960464478,0.10004835575819016,-0.00635674549266696,0.07129379361867905,-0.1000610962510109,7.215218647615984e-05,7.286704203579575e-05,0.34210190176963806,0.01527904998511076,0.015544670633971691,0.0005451283068396151,0.0005509871989488602,0,0,0,0.342061847448349,-0.00011708301462931558,189,0.0014840171206742525,0.0024638951290398836,0.03768464922904968,6.0707789089065045e-06,1,0.010524622164666653,0.7101945281028748,0.1809963434934616,0,0,0.42229875922203064,0.7648470997810364,0.2953988015651703,-0.6621103286743164,27.58660316467285,0.4814770519733429,0.11368811130523682,0.8863118886947632,0.4768400490283966,88.63118743896484,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.58660316467285,0.4814770519733429,0.11368811130523682,0.8863118886947632,0.4768400490283966,88.63118743896484,2,0.9879251718521118,0.00729052908718586,0.05,0.0,0.8863118886947632,5.315181260812096e-05,0,0,0,291,1.0,5.318537712097168,0.9999999403953552,0.9999999403953552,add black sunglasses,42.74481920373388,1,0.0065973117016255856,0.11366286128759384,0.03724031522870064,0,0,0.09630922228097916,0.1475265771150589,0.12870123982429504,-0.10987588763237,17.28912048600614,6.260416690260172,250852,0.0046972231939435005,0.9995951056480408,0.021870920434594154,0.021870920434594154,1,0.011876729317009449,0.4563080966472626,0.10637868195772171,0,0,0.29598942399024963,0.42058035731315613,0.12274517118930817,-0.38672566413879395
0.885786235332489,0.885786235332489,3,face_002__add_black_sunglasses,1.0,0.638780415058136,0.18192709982395172,0.4360155165195465,,0.0,0.0008494059438817203,0.0010321526788175106,0.0034759612753987312,21.737985610961914,1,all_ac,0.006970547139644623,1.3909292221069336,0.14960232377052307,-0.010175512172281742,0.08825571089982986,-0.14884363114833832,7.164536509662867e-05,7.151750469347462e-05,0.3420886695384979,0.01493157260119915,0.015507168136537075,0.0005234447307884693,0.000543106987606734,0,0,0,0.34199976921081543,-0.00025987508706748486,189,0.0020346965175122023,0.0034650559537112713,0.05419284105300903,1.2006612450932153e-05,1,0.0053243497386574745,0.6853401064872742,0.18131399154663086,0,0,0.4280804395675659,0.7648470997810364,0.2953782081604004,-0.6587594151496887,27.651569366455078,0.48261091113090515,0.11421376466751099,0.885786235332489,0.47794100642204285,88.57862091064453,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.651569366455078,0.48261091113090515,0.11421376466751099,0.885786235332489,0.47794100642204285,88.57862091064453,3,0.9881365895271301,0.008144526742398739,0.05,0.0,0.885786235332489,6.63333194097504e-05,0,0,0,291,1.0,5.318537712097168,0.9999999403953552,0.9999999403953552,add black sunglasses,41.78268269469793,1,0.007655444089323282,0.09675365686416626,0.05549915134906769,0,0,0.0962592214345932,0.14890052378177643,0.13992105424404144,-0.13094158470630646,23.462714491412044,6.167105572298169,250852,0.004720532335340977,0.9994945526123047,0.013068215921521187,0.013068215921521187,1,0.0059359255246818066,0.4230370819568634,0.10828423500061035,0,0,0.27789732813835144,0.3985936641693115,0.12587545812129974,-0.38672566413879395
0.8900299072265625,0.885786235332489,3,face_002__add_black_sunglasses,1.0,0.6910614967346191,0.19467568397521973,0.448147714138031,,0.0,0.00072479248046875,0.0012545338831841946,0.004356120713055134,21.738372802734375,1,all_ac,0.007197863422334194,1.680091381072998,0.19862000644207,-0.014450029470026493,0.10524969547986984,-0.1944470852613449,6.655049219261855e-05,6.652919546468183e-05,0.3420836627483368,0.01437082514166832,0.015476389788091183,0.0005062218406237662,0.0005320397322066128,0,0,0,0.3419177234172821,-0.0004850840487051755,189,0.0025364321190863848,0.004348674789071083,0.07225871086120605,1.8910974176833406e-05,1,0.004319955129176378,0.6510896682739258,0.18241192400455475,0,0,0.4335455894470215,0.7648470997810364,0.29339906573295593,-0.6587594151496887,27.122995376586914,0.4733855724334717,0.1099700927734375,0.8900299072265625,0.4689779281616211,89.00299072265625,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.122995376586914,0.4733855724334717,0.1099700927734375,0.8900299072265625,0.4689779281616211,89.00299072265625,4,0.9878566861152649,0.009111935272812843,0.05,0.0,0.8900299072265625,8.302736387122422e-05,0,0,0,291,1.0,5.320490837097168,1.0,1.0,add black sunglasses,40.8077875075982,1,0.007042963523417711,0.0948692187666893,0.053288258612155914,0,0,0.08911474049091339,0.1327860951423645,0.14695245027542114,-0.16111880540847778,30.088956370949745,6.443044904619455,250852,0.004813234321773052,0.9993665218353271,0.012157933786511421,0.012157933786511421,1,0.005266950000077486,0.4061031639575958,0.11630865931510925,0,0,0.29072579741477966,0.3992087244987488,0.13002067804336548,-0.38672566413879395
0.8865302205085754,0.885786235332489,3,face_002__add_black_sunglasses,1.0,0.7906928062438965,0.2010372281074524,0.452993780374527,,0.0,0.0007387797231785953,0.0014624036848545074,0.004891479853540659,21.73927879333496,1,all_ac,0.00568639999255538,1.9348777532577515,0.2381187528371811,-0.019255271181464195,0.11965072154998779,-0.23780514299869537,6.336348451441154e-05,6.329204188659787e-05,0.34209364652633667,0.014122368767857552,0.015471403487026691,0.0004933867021463811,0.000526888994500041,0,0,0,0.3418903350830078,-0.000594315177295357,189,0.0028646253049373627,0.004885993432253599,0.08436781167984009,2.3872931706137024e-05,1,0.005163080990314484,0.7009075880050659,0.1804610639810562,0,0,0.4312920570373535,0.7648470997810364,0.2930014431476593,-0.6739113330841064,27.5595760345459,0.48100534081459045,0.11346977949142456,0.8865302205085754,0.4763818383216858,88.65302276611328,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.5595760345459,0.48100534081459045,0.11346977949142456,0.8865302205085754,0.4763818383216858,88.65302276611328,5,0.9865946769714355,0.009874982759356499,0.05,0.0,0.8865302205085754,9.751527977641672e-05,0,0,0,291,1.0,5.320490837097168,1.0,1.0,add black sunglasses,40.10927328889562,1,0.006526016630232334,0.12587787210941315,0.04505579173564911,0,0,0.10517561435699463,0.10722562670707703,0.1508255898952484,-0.194425567984581,36.132337886840105,6.036782950162888,250852,0.004874211736023426,0.999255895614624,0.012079858221113682,0.012079858221113682,1,0.006658943369984627,0.4075426757335663,0.1244470626115799,0,0,0.30315688252449036,0.4120975136756897,0.1346661001443863,-0.38672566413879395
0.8902013301849365,0.885786235332489,3,face_002__add_black_sunglasses,1.0,0.9026686549186707,0.2163446694612503,0.4943712055683136,,0.0,0.000804901123046875,0.0016180690145120025,0.005246285814791918,21.740516662597656,1,all_ac,0.01606244035065174,2.1470866203308105,0.2851092219352722,-0.022642752155661583,0.13213501870632172,-0.2824294865131378,6.0668058722512797e-05,6.053849574527703e-05,0.34210869669914246,0.013957025483250618,0.015462641604244709,0.00047961814561858773,0.0005222370964474976,0,0,0,0.3418796956539154,-0.0006693809409625828,189,0.0030843091662973166,0.005241997539997101,0.08986490964889526,2.747853795881383e-05,1,0.011331101879477501,0.7582806348800659,0.1804489642381668,0,0,0.4334581196308136,0.7648470997810364,0.29408571124076843,-0.7135680913925171,27.101442337036133,0.4730094075202942,0.10979866981506348,0.8902013301849365,0.46861210465431213,89.02013397216797,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.101442337036133,0.4730094075202942,0.10979866981506348,0.8902013301849365,0.46861210465431213,89.02013397216797,6,0.9831648468971252,0.010917769744992256,0.05,0.0,0.8902013301849365,0.00011919769167434424,0,0,0,291,1.0,5.320490837097168,1.0,1.0,add black sunglasses,39.23732154854185,1,0.010922817513346672,0.16151215136051178,0.04182133823633194,0,0,0.1429574191570282,0.1045793667435646,0.15101419389247894,-0.19744901359081268,42.3509711753577,6.209995165467262,250852,0.005047518294304609,0.999090313911438,0.026338016614317894,0.026338016614317894,1,0.01371084526181221,0.4175162613391876,0.13250918686389923,0,0,0.3196066915988922,0.435106486082077,0.13658423721790314,-0.38672566413879395
0.8904984593391418,0.885786235332489,3,face_002__add_black_sunglasses,1.0,0.9818572402000427,0.21830061078071594,0.5189943909645081,,0.0,0.0006497701397165656,0.0017875959165394306,0.005770033225417137,21.7413272857666,1,all_ac,0.007889698259532452,2.357544183731079,0.3329216539859772,-0.026206519454717636,0.14523927867412567,-0.3292252719402313,6.035933620296419e-05,6.0005957493558526e-05,0.3421211838722229,0.013490403071045876,0.015463131479918957,0.0004755869449581951,0.0005221961764618754,0,0,0,0.3418249785900116,-0.0008657905273139477,189,0.003370430786162615,0.005767482798546553,0.09888112545013428,3.326385922264308e-05,1,0.003926262259483337,0.8159894347190857,0.17926177382469177,0,0,0.4352005422115326,0.7648470997810364,0.2954045534133911,-0.7370832562446594,27.064048767089844,0.47235676646232605,0.10950154066085815,0.8904984593391418,0.4679776430130005,89.04984283447266,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.064048767089844,0.47235676646232605,0.10950154066085815,0.8904984593391418,0.4679776430130005,89.04984283447266,7,0.9828572273254395,0.011571956798434258,0.05,0.0,0.8904984593391418,0.00013391018728725612,0,0,0,291,1.0,5.320490837097168,1.0,1.0,add black sunglasses,38.73186382552242,1,0.004847654141485691,0.16480599343776703,0.04215849190950394,0,0,0.14580059051513672,0.11011163890361786,0.1536133885383606,-0.19711512327194214,48.63611129485071,6.2770054414868355,250852,0.00515017518773675,0.9989773631095886,0.011334497481584549,0.011334497481584549,1,0.005225725006312132,0.4388352930545807,0.13583460450172424,0,0,0.3344060182571411,0.4608134925365448,0.13713601231575012,-0.38672566413879395
0.8909783959388733,0.885786235332489,3,face_002__add_black_sunglasses,1.0,1.0167415142059326,0.21810531616210938,0.5331602692604065,,0.0,0.000545501708984375,0.0019647011067718267,0.006414792966097593,21.741445541381836,1,all_ac,0.007147031370550394,2.567972421646118,0.3812931776046753,-0.03061920590698719,0.1580778807401657,-0.37433645129203796,6.030931763234548e-05,5.9560927184065804e-05,0.34212201833724976,0.013114993460476398,0.015460003167390823,0.00046813441440463066,0.0005214969860389829,0,0,0,0.34177088737487793,-0.001026332494802773,189,0.00373640819452703,0.006412749644368887,0.11326402425765991,4.1123359551420435e-05,1,0.0039647105149924755,0.8528503179550171,0.17835544049739838,0,0,0.4340663552284241,0.7648470997810364,0.29635825753211975,-0.7536525726318359,27.003549575805664,0.4713008403778076,0.10902160406112671,0.8909783959388733,0.46695101261138916,89.09783935546875,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.003549575805664,0.4713008403778076,0.10902160406112671,0.8909783959388733,0.46695101261138916,89.09783935546875,8,0.982945442199707,0.012043604627251625,0.05,0.0,0.8909783959388733,0.00014504841237794608,0,0,0,291,1.0,5.320490837097168,1.0,1.0,add black sunglasses,38.384870203895545,1,0.0019535229075700045,0.16349203884601593,0.04253406077623367,0,0,0.14451056718826294,0.11802883446216583,0.15702836215496063,-0.19602788984775543,55.560608711093664,5.848722597584128,250852,0.005212333519011736,0.9988918900489807,0.009569336660206318,0.009569336660206318,1,0.004577877465635538,0.4638139605522156,0.138352632522583,0,0,0.3487386703491211,0.48819082975387573,0.1373930424451828,-0.38672566413879395
0.8903080224990845,0.885786235332489,3,face_002__add_black_sunglasses,1.0,1.031043529510498,0.21865615248680115,0.54200279712677,,0.0,0.0005442301626317203,0.0021435669623315334,0.007105114404112101,21.740869522094727,1,all_ac,0.015162301249802113,2.7725601196289062,0.4270704388618469,-0.03621840849518776,0.17009763419628143,-0.4176327586174011,5.992650403641164e-05,5.885469727218151e-05,0.34211069345474243,0.012860320508480072,0.015451591461896896,0.00045855878852307796,0.000519228633493185,0,0,0,0.3417221009731293,-0.001135867671109736,189,0.004117553122341633,0.007102927193045616,0.12868046760559082,5.045157377026044e-05,1,0.005987280514091253,0.8793541789054871,0.17697469890117645,0,0,0.43025004863739014,0.7648470997810364,0.2984214425086975,-0.7797426581382751,27.088022232055664,0.4727751612663269,0.10969197750091553,0.8903080224990845,0.4683844745159149,89.03079986572266,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,27.088022232055664,0.4727751612663269,0.10969197750091553,0.8903080224990845,0.4683844745159149,89.03079986572266,9,0.9831686019897461,0.012448123656213284,0.05,0.0,0.8903080224990845,0.00015495579282287508,0,0,0,291,1.0,5.320490837097168,0.9999999403953552,0.9999999403953552,add black sunglasses,38.097921835809814,1,0.009069006890058517,0.16104446351528168,0.04341094195842743,0,0,0.14113415777683258,0.11501076817512512,0.16163787245750427,-0.20826499164104462,61.94898550212383,6.380165757611394,250852,0.005249837413430214,0.9988158941268921,0.019881898537278175,0.019881898537278175,1,0.00687751080840826,0.4919432997703552,0.14208446443080902,0,0,0.3661358058452606,0.5173074007034302,0.13879908621311188,-0.38672566413879395
