case_id,face_id,prompt,seed,edit_steps,guidance_scale,image_guidance_scale,run_dir,verification_dir,wrapper_best_matches_stock,wrapper_final_matches_stock,best_edit_disrupts_under_stock,final_edit_disrupts_under_stock,stock_vs_saved_clean_ssim,stock_vs_saved_clean_psnr,stock_vs_saved_clean_l2,stock_vs_saved_clean_mse,stock_vs_saved_clean_mean_abs,stock_vs_saved_clean_max_abs,stock_vs_saved_best_wrapper_ssim,stock_vs_saved_best_wrapper_psnr,stock_vs_saved_best_wrapper_l2,stock_vs_saved_best_wrapper_mse,stock_vs_saved_best_wrapper_mean_abs,stock_vs_saved_best_wrapper_max_abs,stock_vs_saved_final_wrapper_ssim,stock_vs_saved_final_wrapper_psnr,stock_vs_saved_final_wrapper_l2,stock_vs_saved_final_wrapper_mse,stock_vs_saved_final_wrapper_mean_abs,stock_vs_saved_final_wrapper_max_abs,stock_clean_vs_stock_best_ssim,stock_clean_vs_stock_best_psnr,stock_clean_vs_stock_best_l2,stock_clean_vs_stock_best_mse,stock_clean_vs_stock_best_mean_abs,stock_clean_vs_stock_best_max_abs,stock_clean_vs_stock_final_ssim,stock_clean_vs_stock_final_psnr,stock_clean_vs_stock_final_l2,stock_clean_vs_stock_final_mse,stock_clean_vs_stock_final_mean_abs,stock_clean_vs_stock_final_max_abs,saved_clean_vs_saved_best_ssim,saved_clean_vs_saved_best_psnr,saved_clean_vs_saved_best_l2,saved_clean_vs_saved_best_mse,saved_clean_vs_saved_best_mean_abs,saved_clean_vs_saved_best_max_abs,saved_clean_vs_saved_final_ssim,saved_clean_vs_saved_final_psnr,saved_clean_vs_saved_final_l2,saved_clean_vs_saved_final_mse,saved_clean_vs_saved_final_mean_abs,saved_clean_vs_saved_final_max_abs,input_original_vs_best_ssim,input_original_vs_best_psnr,input_original_vs_best_l2,input_original_vs_best_mse,input_original_vs_best_mean_abs,input_original_vs_best_max_abs,input_original_vs_final_ssim,input_original_vs_final_psnr,input_original_vs_final_l2,input_original_vs_final_mse,input_original_vs_final_mean_abs,input_original_vs_final_max_abs
face_002__add_black_sunglasses,face_002,add black sunglasses,250852,20,7.5,1.5,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_black_sunglasses,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_black_sunglasses/stock_replay_verification,False,True,False,False,0.9940077204076654,56.489358450436995,0.0014980698980836622,2.244213419544394e-06,0.00044876779429614544,0.039215683937072754,0.0,8.110016753134097,0.3930964867117292,0.15452484786510468,0.3078973591327667,0.9215686321258545,0.9805644195400429,46.26924951194022,0.004858895114989277,2.3608861738466658e-05,0.0022717146202921867,0.27450981736183167,0.7910913533310429,25.642071513032487,0.05222716166723929,0.0027276764158159494,0.028228970244526863,0.8745098114013672,0.7730945436964112,24.924301040279737,0.05672636407589722,0.003217880381271243,0.03061545640230179,0.886274516582489,0.0,8.193498406298636,0.38933646349691026,0.15158288180828094,0.30497804284095764,0.9215686321258545,0.772079533662976,24.885533330134677,0.056980116584255995,0.0032467336859554052,0.03054104931652546,0.9019607901573181,0.8454477034071449,28.2596905683439,0.038638074148213776,0.001492900773882866,0.020288685336709023,0.6901960968971252,0.8306289205529819,27.46441471833515,0.04234276986175454,0.0017929101595655084,0.02214944176375866,0.772549033164978
face_002__add_headphones,face_002,add headphones,438717,20,7.5,1.5,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_headphones,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_headphones/stock_replay_verification,False,True,False,False,0.9925680180714465,54.619106927243166,0.0018579954821383881,3.452147211646661e-06,0.0005379124195314944,0.1294117569923401,0.0,9.719902864193235,0.3265914844809955,0.10666199773550034,0.2468027025461197,1.0,0.9823242224382436,47.09362927437713,0.0044189443904391005,1.9527069525793195e-05,0.002318927086889744,0.13333335518836975,0.7719979392106139,24.88242437905771,0.05700051519734653,0.0032490587327629328,0.033185720443725586,0.8627451062202454,0.7781461232126031,25.119859382531597,0.05546346919684921,0.003076196415349841,0.03270521014928818,0.8549019694328308,0.0,9.822039347364761,0.3227736197264165,0.10418280959129333,0.24353981018066406,1.0,0.7790089940325104,25.153707849524352,0.0552477514918724,0.003052314044907689,0.03237941488623619,0.8627451062202454,0.8761367067102872,30.182347368709785,0.03096582332242821,0.0009588822140358388,0.017284926027059555,0.7411764860153198,0.8758417584283495,30.161688763924033,0.03103956039291262,0.0009634543093852699,0.017410844564437866,0.7568627595901489
face_005__add_black_sunglasses,face_005,add black sunglasses,67119,20,7.5,1.5,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_black_sunglasses,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_black_sunglasses/stock_replay_verification,False,False,False,False,0.9951125496672408,58.25955268576759,0.0012218625831897992,1.4929481721992488e-06,0.00034333273652009666,0.039215683937072754,0.0,7.6746079559161595,0.4133039940559141,0.1708201915025711,0.3406386077404022,0.9803921580314636,0.9739989562774236,43.74138419494466,0.006500260930644097,4.225339216645807e-05,0.0018791492329910398,0.5843137502670288,0.8272761153737086,27.294151888855698,0.04318097115657285,0.0018645962700247765,0.02282370813190937,0.8666666746139526,0.8142720654136772,26.663655244030924,0.04643198364658068,0.0021559291053563356,0.023671142756938934,0.8823529481887817,0.0,7.680646825357415,0.4130167440987282,0.1705828309059143,0.34047070145606995,0.9803921580314636,0.8136068669447201,26.63260165881095,0.04659828326381997,0.0021714000031352043,0.02369694598019123,0.8901960849761963,0.8783032908336419,30.335623136274286,0.030424177291589534,0.0009256305638700724,0.017566068097949028,0.4901961088180542,0.8748412172166598,30.091973210238354,0.03128969569583506,0.0009790450567379594,0.01780538074672222,0.5098039507865906
face_005__add_headphones,face_005,add headphones,405993,20,7.5,1.5,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_headphones,outputs/edited_output_identity_1/20260706_191143_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_headphones/stock_replay_verification,False,True,False,False,0.9947121959091704,57.57569269673431,0.0013219510227074052,1.7475545064371545e-06,0.00040240318048745394,0.05882352590560913,0.0,9.45518631028046,0.336698114599235,0.11336562037467957,0.26191022992134094,0.9725490212440491,0.9849475037942375,48.48902929840136,0.003763124051440627,1.416110262653092e-05,0.001866463921032846,0.10588237643241882,0.8079472289105548,26.372788268738155,0.0480131927723613,0.0023052666801959276,0.025225168094038963,0.7803921699523926,0.7788894582189781,25.149010852127596,0.05527763544525546,0.003055616980418563,0.02916363626718521,0.8784313797950745,0.0,9.459834670974486,0.33651797466748107,0.11324434727430344,0.26152756810188293,0.9725490212440491,0.7783100617884028,25.12628017972686,0.0554224845528993,0.0030716517940163612,0.029272444546222687,0.8705882430076599,0.8930878029199617,31.46065473596962,0.026728049270009577,0.0007143886177800596,0.01502483244985342,0.5176470875740051,0.869806296057785,29.749400174061407,0.03254842598555374,0.0010594000341370702,0.01884423941373825,0.5058823823928833
