case_id,face_id,prompt,seed,edit_steps,guidance_scale,image_guidance_scale,run_dir,verification_dir,wrapper_best_matches_stock,wrapper_final_matches_stock,best_edit_disrupts_under_stock,final_edit_disrupts_under_stock,stock_vs_saved_clean_ssim,stock_vs_saved_clean_psnr,stock_vs_saved_clean_l2,stock_vs_saved_clean_mse,stock_vs_saved_clean_mean_abs,stock_vs_saved_clean_max_abs,stock_vs_saved_best_wrapper_ssim,stock_vs_saved_best_wrapper_psnr,stock_vs_saved_best_wrapper_l2,stock_vs_saved_best_wrapper_mse,stock_vs_saved_best_wrapper_mean_abs,stock_vs_saved_best_wrapper_max_abs,stock_vs_saved_final_wrapper_ssim,stock_vs_saved_final_wrapper_psnr,stock_vs_saved_final_wrapper_l2,stock_vs_saved_final_wrapper_mse,stock_vs_saved_final_wrapper_mean_abs,stock_vs_saved_final_wrapper_max_abs,stock_clean_vs_stock_best_ssim,stock_clean_vs_stock_best_psnr,stock_clean_vs_stock_best_l2,stock_clean_vs_stock_best_mse,stock_clean_vs_stock_best_mean_abs,stock_clean_vs_stock_best_max_abs,stock_clean_vs_stock_final_ssim,stock_clean_vs_stock_final_psnr,stock_clean_vs_stock_final_l2,stock_clean_vs_stock_final_mse,stock_clean_vs_stock_final_mean_abs,stock_clean_vs_stock_final_max_abs,saved_clean_vs_saved_best_ssim,saved_clean_vs_saved_best_psnr,saved_clean_vs_saved_best_l2,saved_clean_vs_saved_best_mse,saved_clean_vs_saved_best_mean_abs,saved_clean_vs_saved_best_max_abs,saved_clean_vs_saved_final_ssim,saved_clean_vs_saved_final_psnr,saved_clean_vs_saved_final_l2,saved_clean_vs_saved_final_mse,saved_clean_vs_saved_final_mean_abs,saved_clean_vs_saved_final_max_abs,input_original_vs_best_ssim,input_original_vs_best_psnr,input_original_vs_best_l2,input_original_vs_best_mse,input_original_vs_best_mean_abs,input_original_vs_best_max_abs,input_original_vs_final_ssim,input_original_vs_final_psnr,input_original_vs_final_l2,input_original_vs_final_mse,input_original_vs_final_mean_abs,input_original_vs_final_max_abs
face_002__add_black_sunglasses,face_002,add black sunglasses,250852,20,7.5,1.5,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_black_sunglasses,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_black_sunglasses/stock_replay_verification,False,True,False,False,0.9993619918823242,56.489358450436995,0.0014980698980836622,2.244213419544394e-06,0.00044876779429614544,0.039215683937072754,0.3145466148853302,8.156213094749011,0.39101133315620573,0.15288986265659332,0.30501648783683777,0.9529411792755127,0.9970981478691101,49.788409502671406,0.0032402575025615487,1.0499268682906404e-05,0.0015785320429131389,0.14901962876319885,0.9632863402366638,34.58763976028231,0.018647388198153297,0.0003477250866126269,0.008952447213232517,0.8509804010391235,0.9469194412231445,32.86709065614626,0.022732409311552137,0.0005167624331079423,0.011687610298395157,0.8313725590705872,0.3111743927001953,8.180863096554411,0.38990324097768847,0.1520245373249054,0.3047754466533661,0.9529411792755127,0.9464330673217773,32.685103694668584,0.0232137239296174,0.0005388769786804914,0.011738008819520473,0.8235294222831726,0.991976261138916,43.17562133799566,0.006937754584755389,4.813243867829442e-05,0.003172521246597171,0.20000001788139343,0.9857026934623718,40.7328970243588,0.009190838795581184,8.44715177663602e-05,0.004693235736340284,0.22745099663734436
face_002__add_headphones,face_002,add headphones,438717,20,7.5,1.5,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_headphones,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_002__add_headphones/stock_replay_verification,False,True,False,False,0.9992948174476624,54.619106927243166,0.0018579954821383881,3.452147211646661e-06,0.0005379124195314944,0.1294117569923401,0.3338405191898346,9.788848348089646,0.32400937961023435,0.10498207807540894,0.2448343187570572,1.0,0.995560884475708,46.28255021057549,0.004851460385082962,2.3536667868029326e-05,0.002725298749282956,0.17254900932312012,0.9344109892845154,30.002772297091504,0.03161268509163997,0.000999361858703196,0.014154910109937191,0.7529411911964417,0.9187609553337097,28.962649139655493,0.03563424347337879,0.0012697993079200387,0.016727065667510033,0.800000011920929,0.3270218074321747,9.809697850874118,0.3232325641778481,0.10447929054498672,0.2439103126525879,1.0,0.9195649027824402,29.000598001919098,0.03547889620542431,0.0012587520759552717,0.01602139137685299,0.800000011920929,0.9830217361450195,39.89872509705489,0.010117279433993523,0.00010235934314550832,0.005205570254474878,0.2196078598499298,0.9759438037872314,38.433910905828384,0.011975797798967583,0.0001434197329217568,0.006585689261555672,0.20784315466880798
face_005__add_black_sunglasses,face_005,add black sunglasses,67119,20,7.5,1.5,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_black_sunglasses,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_black_sunglasses/stock_replay_verification,False,True,False,False,0.9993395805358887,58.25955268576759,0.0012218625831897992,1.4929481721992488e-06,0.00034333273652009666,0.039215683937072754,0.23510034382343292,7.750139952941398,0.40972550798524654,0.1678749918937683,0.33800208568573,0.9764705896377563,0.9968125224113464,48.548310895778485,0.0037375280026970058,1.3969115570944268e-05,0.0014625652693212032,0.2392157018184662,0.9722414016723633,36.75803412578847,0.01452440310671892,0.00021095828560646623,0.006557963322848082,0.45490196347236633,0.959793746471405,33.10571741501037,0.02211638437660346,0.0004891344578936696,0.0090324142947793,0.8313725590705872,0.23357875645160675,7.759573609436739,0.40928075084028165,0.1675107330083847,0.3375938832759857,0.9764705896377563,0.9598036408424377,32.92144920110597,0.022590588251052472,0.00051033467752859,0.009052367880940437,0.8274509906768799,0.98948734998703,42.89054691723109,0.007169232322467919,5.139789209351875e-05,0.0034497331362217665,0.15686273574829102,0.9798223376274109,39.58987729878428,0.01048349602986552,0.00010990368900820613,0.005741193890571594,0.1882352977991104
face_005__add_headphones,face_005,add headphones,405993,20,7.5,1.5,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_headphones,outputs/smoke_timing/20260706_181028_edited_output_identity_all_sequential/runs/edited_output_identity/instructpix2pix_arcface_iresnet100/face_005__add_headphones/stock_replay_verification,False,True,False,False,0.9993141293525696,57.57569269673431,0.0013219510227074052,1.7475545064371545e-06,0.00040240318048745394,0.05882352590560913,0.36665403842926025,9.469157798606345,0.3361569619245261,0.1130015030503273,0.26077741384506226,0.9764705896377563,0.9963390827178955,46.767355862060775,0.004588092941794258,2.105059684254229e-05,0.0016671576304361224,0.1921568512916565,0.9574992060661316,31.220700656319195,0.027476725003033383,0.0007549704168923199,0.010012288577854633,0.6784313917160034,0.9522243142127991,30.604134920196564,0.029498046370410744,0.0008701347396709025,0.011055842973291874,0.7137255072593689,0.3643529415130615,9.464936256412654,0.336320381651383,0.11311139911413193,0.2606183588504791,0.9764705896377563,0.9535066485404968,30.950160660327995,0.028346012022258973,0.0008034963975660503,0.010911990888416767,0.6745098233222961,0.9858636856079102,39.53089831764112,0.010554923357664833,0.00011140640708617866,0.004453607369214296,0.3372548818588257,0.9822537899017334,38.43815204642444,0.011969951691517385,0.00014327974349725991,0.00527142733335495,0.36862748861312866
